,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,CHN CHN,LUO Ying LUO Yu,0,112 - 39,"$304,025.00","74,640 / 14"
1,2,DEN DEN,Kamilla RYTTER JUHL Christinna PEDERSEN,0,172 - 76,"$396,789.67","73,330 / 17"
2,3,INA INA,Nitya Krishinda MAHESWARI Greysia POLII,0,120 - 55,"$267,572.13","72,592 / 18"
3,4,JPN JPN,Misaki MATSUTOMO Ayaka TAKAHASHI,0,201 - 96,"$385,108.50","70,379 / 17"
4,5,KOR KOR,CHANG Ye Na LEE So Hee,0,39 - 11,"$157,418.09","56,960 / 11"
5,6,KOR KOR,JUNG Kyung Eun SHIN Seung Chan,0,39 - 11,"$228,359.51","55,960 / 11"
6,7,CHN CHN,MA Jin TANG Yuanting,0,49 - 12,"$389,635.00","54,019 / 8"
7,8,JPN JPN,Naoko FUKUMAN Kurumi YONAO,0,70 - 42,"$34,253.72","52,850 / 20"
8,9,NED NED,Eefje MUSKENS Selena PIEK,0,100 - 41,"$78,860.48","52,755 / 21"
9,10,CHN CHN,TIAN Qing ZHAO Yunlei,0,179 - 35,"$780,869.25","50,270 / 6"
10,11,MAS MAS,Vivian Kah Mun HOO Khe Wei WOON,0,101 - 82,"$70,220.14","48,374 / 19"
11,12,JPN JPN,Reika KAKIIWA Miyuki MAEDA,0,74 - 51,"$250,601.45","47,430 / 15"
12,13,JPN JPN,Shizuka MATSUO Mami NAITO,0,161 - 94,"$152,280.82","47,100 / 16"
13,14,IND IND,Jwala GUTTA Ashwini PONNAPPA,0,82 - 95,"$76,806.98","46,314 / 20"
14,15,KOR KOR,GO Ah Ra YOO Hae Won,0,69 - 53,"$62,788.72","45,700 / 17"
15,16,KOR KOR,CHAE Yoo Jung KIM So Yeong,0,19 - 16,"$59,649.35","45,550 / 14"
16,17,BUL BUL,Gabriela STOEVA Stefani STOEVA,0,192 - 62,"$50,652.74","44,680 / 19"
17,18,CHN CHN,WANG Xiaoli YU Yang (F),0,204 - 28,"$1,158,023.75","43,130 / 7"
18,19,MAS MAS,Amelia Alicia ANSCELLY Fie Cho SOONG,0,64 - 50,"$33,456.54","43,060 / 17"
19,20,HKG HKG,POON Lok Yan TSE Ying Suet,0,88 - 84,"$82,742.48","41,480 / 15"
