,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,CHN CHN,LUO Ying LUO Yu,0,109 - 38,"$314,418.74","74,640 / 14"
1,2,DEN DEN,Kamilla RYTTER JUHL Christinna PEDERSEN,0,168 - 76,"$411,589.67","73,330 / 17"
2,3,INA INA,Nitya Krishinda MAHESWARI Greysia POLII,0,115 - 54,"$316,965.87","72,592 / 18"
3,4,JPN JPN,Misaki MATSUTOMO Ayaka TAKAHASHI,0,193 - 93,"$386,139.74","70,379 / 17"
4,5,KOR KOR,CHANG Ye Na LEE So Hee,0,38 - 11,"$186,771.83","56,960 / 11"
5,6,KOR KOR,JUNG Kyung Eun SHIN Seung Chan,0,34 - 11,"$237,209.51","55,960 / 11"
6,7,CHN CHN,MA Jin TANG Yuanting,0,43 - 11,"$393,985.00","54,019 / 8"
7,8,JPN JPN,Naoko FUKUMAN Kurumi YONAO,0,66 - 38,"$36,503.72","52,850 / 20"
8,9,NED NED,Eefje MUSKENS Selena PIEK,0,98 - 39,"$86,141.72","52,755 / 21"
9,10,CHN CHN,TIAN Qing ZHAO Yunlei,0,172 - 30,"$793,853.62","50,270 / 6"
10,11,MAS MAS,Vivian Kah Mun HOO Khe Wei WOON,0,94 - 79,"$71,090.14","48,374 / 19"
11,12,JPN JPN,Reika KAKIIWA Miyuki MAEDA,0,72 - 48,"$251,632.69","47,430 / 15"
12,13,JPN JPN,Shizuka MATSUO Mami NAITO,0,153 - 88,"$159,250.82","47,100 / 16"
13,14,IND IND,Jwala GUTTA Ashwini PONNAPPA,0,85 - 90,"$76,806.98","46,314 / 20"
14,15,KOR KOR,GO Ah Ra YOO Hae Won,0,66 - 50,"$67,749.96","45,700 / 17"
15,16,KOR KOR,CHAE Yoo Jung KIM So Yeong,0,19 - 16,"$66,024.35","45,550 / 14"
16,17,BUL BUL,Gabriela STOEVA Stefani STOEVA,0,150 - 53,"$56,603.74","44,680 / 19"
17,18,CHN CHN,WANG Xiaoli YU Yang (F),0,194 - 21,"$1,163,404.99","43,130 / 7"
18,19,MAS MAS,Amelia Alicia ANSCELLY Fie Cho SOONG,0,59 - 47,"$34,514.04","43,060 / 17"
19,20,HKG HKG,POON Lok Yan TSE Ying Suet,0,86 - 83,"$84,317.47","41,480 / 15"
20,21,THA THA,Puttita SUPAJIRAKUL Sapsiree TAERATTANACHAI,0,31 - 41,"$36,866.19","41,185 / 20"
21,22,THA THA,Jongkolphan KITITHARAKUL Rawinda PRAJONGJAI,0,37 - 33,"$21,591.60","40,050 / 20"
22,23,JPN JPN,Yuki FUKUSHIMA Sayaka HIROTA,0,38 - 17,"$20,493.11","37,910 / 10"
23,24,KOR KOR,JUNG Kyung Eun CHANG Ye Na,0,15 - 10,"$284,168.88","37,845 / 8"
24,25,KOR KOR,LEE So Hee SHIN Seung Chan,0,80 - 48,"$139,812.46","37,590 / 10"
25,26,GER GER,Carla NELTE Johanna GOLISZEWSKI,0,70 - 61,"$32,957.49","37,560 / 25"
26,27,GER GER,Birgit MICHELS Isabel HERTTRICH,0,26 - 28,"$41,213.40","37,036 / 21"
27,28,USA USA,Eva LEE Paula Lynn OBANANA,0,115 - 79,"$31,726.69","36,841 / 25"
28,29,JPN JPN,Ayane KURIHARA Naru SHINOYA,0,40 - 19,"$24,276.11","36,840 / 14"
29,30,ENG ENG,Heather OLVER Lauren SMITH,0,49 - 31,"$40,040.25","36,119 / 26"
30,31,THA THA,Chaladchalam Chayanit Phataimas MUENWONG,0,42 - 22,"$13,974.92","34,920 / 21"
31,32,INA INA,Suci Rizky ANDINI Maretha Dea GIOVANI,0,24 - 13,"$35,035.35","33,560 / 14"
32,33,INA INA,Anggia Shitta AWANDA Mahadewi Istirani NI KETUT,0,21 - 11,"$19,254.98","33,560 / 12"
33,34,CHN CHN,TANG Yuanting YU Yang (F),0,25 - 1,"$835,306.87","33,368 / 5"
34,35,TUR TUR,Neslihan YIGIT Ozge BAYRAK,0,98 - 44,"$15,614.55","32,898 / 16"
35,36,NED NED,Samantha BARNING Iris TABELING,0,44 - 42,"$27,928.95","32,422 / 19"
36,37,INA INA,Gebby Ristiyani IMAWAN Tiara Rosalia NURAIDAH,0,70 - 50,"$33,041.70","31,960 / 14"
37,38,INA INA,Pia Zebadiah BERNADETH Rizki Amelia PRADIPTA,0,75 - 50,"$87,147.74","30,320 / 9"
38,39,TPE TPE,HSU Ya Ching PAI Yu Po,0,15 - 35,"$8,128.07","30,160 / 21"
39,40,BRA BRA,Lohaynny VICENTE Luana VICENTE,0,63 - 33,"$10,176.15","29,383 / 14"
40,41,JPN JPN,Shiho TANAKA Koharu YONEMOTO,0,15 - 10,"$22,712.58","28,970 / 10"
41,42,TPE TPE,HSIEH Pei Chen WU Ti Jung,0,15 - 25,"$21,310.60","28,390 / 21"
42,43,IND IND,Pradnya GADRE NELAKURIHI Sikki Reddy,1,32 - 21,"$17,636.73","27,980 / 10"
43,44,CHN CHN,TANG Jinhua TIAN Qing,1,12 - 3,"$694,460.11","27,440 / 4"
44,45,SIN SIN,Yu Yan Vanessa NEO Shinta Mulia SARI,1,26 - 31,"$78,790.04","27,317 / 12"
45,46,CAN CAN,Alex BRUCE Phyllis CHAN,1,40 - 40,"$11,903.45","26,938 / 17"
46,47,INA INA,Devi Tika PERMATASARI Keshya Nurvita HANADIA,-4,52 - 32,"$23,690.91","26,710 / 10"
47,48,CHN CHN,OU Dongni YU Xiaohan,0,0 - 0,"$94,622.49","25,940 / 4"
48,49,MAS MAS,Meng Yean LEE Yin Loo LIM,0,21 - 28,"$27,415.31","25,590 / 13"
49,50,CHN CHN,TANG Jinhua ZHONG Qianxin,0,10 - 4,"$420,983.11","25,340 / 5"
50,51,AUS AUS,Setyana MAPASA Gronya SOMERVILLE,0,27 - 8,"$4,331.74","25,220 / 11"
51,52,CHN CHN,CHEN Qingchen JIA Yifan,0,24 - 6,"$25,043.75","24,820 / 6"
52,53,RUS RUS,Evgeniya KOSETSKAYA Ekaterina BOLOTOVA,0,36 - 23,"$15,384.75","24,372 / 9"
53,54,CHN CHN,BAO Yixin TANG Yuanting,0,13 - 1,"$448,608.74","23,950 / 3"
54,55,TPE TPE,CHIANG Kai Hsin WU Fang Chien,0,19 - 26,"$9,279.92","23,590 / 18"
