,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,JPN JPN,Misaki MATSUTOMO Ayaka TAKAHASHI,0,0 - 0,"$385,108.50","73,679 / 17"
1,2,CHN CHN,LUO Ying LUO Yu,0,0 - 0,"$304,025.00","71,340 / 14"
2,3,INA INA,Nitya Krishinda MAHESWARI Greysia POLII,1,0 - 0,"$267,572.13","70,842 / 18"
3,4,DEN DEN,Kamilla RYTTER JUHL Christinna PEDERSEN,-1,4 - 0,"$396,789.67","70,030 / 17"
4,5,CHN CHN,TIAN Qing ZHAO Yunlei,0,0 - 0,"$780,869.25","55,300 / 6"
5,6,CHN CHN,MA Jin TANG Yuanting,0,0 - 0,"$389,635.00","54,019 / 8"
6,7,KOR KOR,CHANG Ye Na LEE So Hee,0,0 - 0,"$157,418.09","52,030 / 9"
7,8,NED NED,Eefje MUSKENS Selena PIEK,0,2 - 0,"$78,860.48","51,385 / 20"
8,9,JPN JPN,Reika KAKIIWA Miyuki MAEDA,0,0 - 0,"$250,601.45","50,820 / 16"
9,10,JPN JPN,Naoko FUKUMAN Kurumi YONAO,0,0 - 0,"$34,253.72","50,400 / 19"
10,11,KOR KOR,JUNG Kyung Eun SHIN Seung Chan,0,0 - 0,"$228,359.51","49,650 / 9"
11,12,MAS MAS,Vivian Kah Mun HOO Khe Wei WOON,0,0 - 0,"$70,220.14","48,374 / 18"
12,13,IND IND,Jwala GUTTA Ashwini PONNAPPA,0,0 - 0,"$76,806.98","46,314 / 20"
13,14,KOR KOR,GO Ah Ra YOO Hae Won,0,0 - 0,"$62,788.72","45,700 / 17"
14,15,JPN JPN,Shizuka MATSUO Mami NAITO,0,0 - 0,"$152,280.82","45,200 / 15"
15,16,KOR KOR,CHAE Yoo Jung KIM So Yeong,0,0 - 0,"$59,649.35","44,830 / 13"
16,17,BUL BUL,Gabriela STOEVA Stefani STOEVA,0,2 - 1,"$50,652.74","44,680 / 17"
17,18,CHN CHN,WANG Xiaoli YU Yang (F),0,0 - 0,"$1,158,023.75","43,130 / 7"
18,19,MAS MAS,Amelia Alicia ANSCELLY Fie Cho SOONG,0,0 - 0,"$33,456.54","43,060 / 16"
19,20,HKG HKG,POON Lok Yan TSE Ying Suet,0,0 - 0,"$82,742.48","41,480 / 15"
20,21,THA THA,Jongkolphan KITITHARAKUL Rawinda PRAJONGJAI,0,0 - 0,"$15,640.60","39,820 / 19"
21,22,USA USA,Eva LEE Paula Lynn OBANANA,0,0 - 0,"$30,156.19","38,801 / 25"
22,23,THA THA,Puttita SUPAJIRAKUL Sapsiree TAERATTANACHAI,3,0 - 0,"$36,866.19","38,095 / 18"
23,24,JPN JPN,Yuki FUKUSHIMA Sayaka HIROTA,-1,0 - 0,"$20,493.11","37,910 / 10"
24,25,KOR KOR,JUNG Kyung Eun CHANG Ye Na,-1,0 - 0,"$265,067.01","37,845 / 8"
25,26,KOR KOR,LEE So Hee SHIN Seung Chan,-1,0 - 0,"$120,710.59","37,590 / 10"
26,27,GER GER,Carla NELTE Johanna GOLISZEWSKI,0,4 - 0,"$31,072.49","37,330 / 24"
27,28,JPN JPN,Ayane KURIHARA Naru SHINOYA,0,0 - 0,"$23,406.11","36,840 / 14"
28,29,ENG ENG,Heather OLVER Lauren SMITH,1,0 - 0,"$38,677.25","36,119 / 24"
29,30,GER GER,Birgit MICHELS Isabel HERTTRICH,-1,0 - 0,"$39,024.90","35,906 / 19"
30,31,NED NED,Samantha BARNING Iris TABELING,0,0 - 2,"$27,741.45","34,202 / 20"
31,32,THA THA,Chaladchalam Chayanit Phataimas MUENWONG,2,0 - 0,"$11,221.18","33,580 / 21"
32,33,INA INA,Suci Rizky ANDINI Maretha Dea GIOVANI,4,0 - 0,"$32,375.35","33,560 / 14"
33,34,INA INA,Anggia Shitta AWANDA Mahadewi Istirani NI KETUT,-1,0 - 0,"$19,254.98","33,560 / 12"
34,35,CHN CHN,TANG Yuanting YU Yang (F),14,0 - 0,"$830,441.25","33,368 / 5"
35,36,INA INA,Gebby Ristiyani IMAWAN Tiara Rosalia NURAIDAH,0,0 - 0,"$30,704.20","31,960 / 14"
36,37,TUR TUR,Neslihan YIGIT Ozge BAYRAK,-5,0 - 0,"$15,427.05","31,698 / 16"
37,38,TPE TPE,HSIEH Pei Chen WU Ti Jung,-3,0 - 0,"$21,123.10","31,670 / 22"
38,39,INA INA,Pia Zebadiah BERNADETH Rizki Amelia PRADIPTA,-1,0 - 0,"$85,322.74","30,320 / 9"
39,40,TPE TPE,HSU Ya Ching PAI Yu Po,0,0 - 0,"$8,128.07","30,160 / 20"
40,41,CAN CAN,Alex BRUCE Phyllis CHAN,0,0 - 0,,"29,268 / 16"
41,42,JPN JPN,Shiho TANAKA Koharu YONEMOTO,0,0 - 0,,"28,970 / 10"
42,43,BRA BRA,Lohaynny VICENTE Luana VICENTE,0,0 - 0,,"28,463 / 12"
43,44,INA INA,Devi Tika PERMATASARI Keshya Nurvita HANADIA,0,0 - 0,,"27,990 / 11"
44,45,IND IND,Pradnya GADRE NELAKURIHI Sikki Reddy,-6,0 - 0,,"27,980 / 11"
45,46,CHN CHN,TANG Jinhua TIAN Qing,-1,0 - 0,,"27,440 / 4"
