,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,CHN,LI Xuerui,0,221 - 46,"$626,110.00","95,244 / 10"
1,2,CHN,WANG Shixian,0,220 - 64,"$658,775.00","82,677 / 15"
2,3,CHN,WANG Yihan,0,307 - 71,"$738,865.50","75,611 / 15"
3,4,IND,Saina NEHWAL,0,278 - 124,"$570,610.00","71,081 / 15"
4,5,KOR,SUNG Ji Hyun,0,191 - 101,"$298,365.00","70,124 / 17"
5,6,THA,Ratchanok INTANON,0,194 - 93,"$295,955.00","65,142 / 15"
6,7,TPE,TAI Tzu Ying,0,163 - 97,"$226,905.00","64,608 / 17"
7,8,ESP,Carolina MARIN,0,167 - 58,"$224,481.00","62,018 / 15"
8,9,KOR,BAE Yeon Ju,0,188 - 111,"$188,907.50","60,473 / 16"
9,10,CHN,LIU Xin (F),0,116 - 40,"$138,327.50","57,410 / 10"
10,11,IND,PUSARLA V. Sindhu,0,143 - 59,"$84,253.00","57,405 / 15"
11,12,JPN,Akane YAMAGUCHI,0,87 - 22,"$69,527.50","50,905 / 12"
12,13,USA,Beiwen ZHANG,0,142 - 69,"$52,001.12","50,610 / 16"
13,14,CAN,Michelle LI,0,184 - 69,"$46,309.50","47,511 / 17"
14,15,JPN,Minatsu MITANI,0,100 - 61,"$83,742.50","47,359 / 14"
15,16,CHN,SUN Yu,0,66 - 23,"$77,655.00","46,928 / 10"
16,17,JPN,Sayaka TAKAHASHI,0,100 - 50,"$65,367.00","45,536 / 16"
17,18,CHN,HAN Li,0,69 - 37,"$79,550.00","44,620 / 11"
18,19,THA,Nitchaon JINDAPOL,0,110 - 71,"$62,185.00","43,036 / 14"
19,20,JPN,Eriko HIROSE,0,212 - 170,"$102,757.50","40,018 / 15"
20,21,INA,Adrianti FIRDASARI,0,159 - 121,"$61,622.50","39,456 / 11"
21,22,THA,Busanan ONGBUMRUNGPHAN,0,125 - 59,"$52,695.00","39,117 / 14"
22,23,ESP,Beatriz CORRALES,0,155 - 74,"$23,034.50","36,344 / 21"
23,24,CHN,YAO Xue,0,52 - 27,"$43,770.00","36,060 / 8"
24,25,JPN,Nozomi OKUHARA,0,103 - 32,"$67,355.50","35,740 / 8"
25,26,THA,Porntip BURANAPRASERTSUK,0,158 - 129,"$110,945.00","35,427 / 16"
26,27,SCO,Kirsty GILMOUR,0,117 - 54,"$26,264.00","34,998 / 14"
27,28,TPE,HSU Ya Ching,0,69 - 53,"$23,800.00","34,900 / 15"
28,29,MAS,Jing Yi TEE,0,69 - 83,"$14,033.50","34,844 / 12"
29,30,INA,Lindaweni FANETRI,0,91 - 76,"$44,522.50","34,307 / 11"
30,31,JPN,Sayaka SATO,0,132 - 88,"$63,325.00","34,050 / 10"
31,32,HKG,YIP Pui Yin,0,182 - 163,"$101,275.00","33,674 / 15"
32,33,INA,Bellaetrix MANUPUTTY,0,87 - 63,"$17,891.00","33,501 / 10"
33,34,TPE,PAI Yu Po,0,70 - 49,"$18,612.50","33,130 / 17"
34,35,GER,Karin SCHNAASE,0,171 - 139,"$17,793.80","32,757 / 19"
35,36,DEN,Line KJAERSFELDT,0,94 - 53,"$6,672.50","31,596 / 14"
36,37,TPE,PAI Hsiao Ma,0,162 - 127,"$43,567.50","31,594 / 16"
37,38,BUL,Linda ZETCHIRI,0,232 - 163,"$30,986.40","31,082 / 16"
38,39,JPN,Kaori IMABEPPU,0,134 - 81,"$47,729.50","31,040 / 11"
39,40,IND,P. C. Thulasi,0,59 - 49,"$12,368.50","30,784 / 13"
40,41,IRL,Chloe MAGEE,0,153 - 126,"$15,166.75","29,442 / 18"
41,42,DEN,Anna Thea MADSEN,0,95 - 39,"$3,800.00","29,329 / 15"
42,43,FRA,Sashina VIGNES WARAN,0,150 - 95,"$13,627.00","29,158 / 17"
43,44,INA,Maria Febe KUSUMASTUTI,0,122 - 87,"$39,289.00","29,131 / 10"
44,45,USA,Iris WANG,0,80 - 74,"$14,125.50","28,993 / 18"
45,46,BUL,Petya NEDELCHEVA,0,446 - 217,"$76,226.50","28,964 / 18"
46,47,RUS,Natalia PERMINOVA,0,86 - 72,"$7,069.50","27,927 / 19"
47,48,SUI,Sabrina JAQUET,0,119 - 115,"$9,726.50","27,731 / 18"
48,49,BUL,Stefani STOEVA,0,139 - 57,"$6,522.50","27,541 / 19"
49,50,VIE,Thi Trang (B) VU,0,50 - 45,"$7,478.00","26,890 / 11"
50,51,USA,Jamie SUBANDHI,0,67 - 64,"$3,837.50","26,767 / 19"
51,52,SIN,Jiayuan CHEN,0,89 - 88,"$12,932.37","26,719 / 11"
52,53,CZE,Kristina GAVNHOLT,0,164 - 125,"$19,863.50","26,182 / 10"
53,54,RUS,Ksenia POLIKARPOVA,0,78 - 71,"$6,390.00","26,121 / 20"
54,55,JPN,Kana ITO,0,87 - 37,"$14,433.00","25,970 / 7"
55,56,TPE,CHENG Chi Ya,0,49 - 37,"$10,516.50","25,930 / 12"
56,57,USA,SCHAFER Rong,0,62 - 35,"$7,557.50","25,000 / 21"
57,58,MAS,Li Lian YANG,0,49 - 55,"$4,650.00","24,968 / 13"
58,59,TUR,Ozge BAYRAK,0,132 - 70,"$8,180.00","24,940 / 14"
59,60,JPN,Yui HASHIMOTO,0,63 - 29,"$61,264.00","24,500 / 8"
60,61,BRA,Fabiana SILVA,0,76 - 63,"$2,790.00","24,445 / 13"
61,62,RUS,Olga GOLOVANOVA,0,147 - 90,"$8,007.40","23,600 / 15"
62,63,ITA,Jeanine CICOGNINI,0,162 - 117,"$16,816.25","23,480 / 11"
63,64,IND,Arundhati PANTAWANE,0,65 - 51,"$7,952.50","23,350 / 10"
64,65,INA,Millicent WIRANTO,0,50 - 50,"$2,878.00","23,200 / 20"
65,66,TUR,Neslihan YIGIT,0,146 - 60,"$7,588.00","23,028 / 11"
66,67,IND,Tanvi LAD,0,41 - 42,"$6,143.00","23,020 / 12"
67,68,IND,Saili RANE,0,46 - 33,"$3,762.50","22,900 / 13"
68,69,MAS,Sannatasah SANIRU,0,72 - 81,"$5,997.50","22,140 / 16"
69,70,ENG,Fontaine Mica CHAPMAN,0,77 - 61,"$2,620.00","21,862 / 15"
70,71,INA,Aprillia YUSWANDARI,0,86 - 86,"$29,355.00","21,820 / 8"
71,72,FRA,Delphine LANSAC,0,87 - 41,"$2,135.50","21,424 / 17"
72,73,HKG,CHEUNG Ngan Yi,0,41 - 45,"$16,765.00","21,310 / 13"
73,74,UKR,Maria ULITINA,0,95 - 55,"$5,705.50","21,160 / 12"
74,75,BRA,Lohaynny VICENTE,0,0 - 0,,"20,810 / 11"
75,76,RUS,Evgeniya KOSETSKAYA,0,0 - 0,,"20,208 / 18"
76,77,MAS,Lyddia Yi Yu CHEAH,0,0 - 0,,"20,090 / 11"
77,78,DEN,Sandra-Maria JENSEN,0,0 - 0,,"19,927 / 14"
78,79,KOR,KIM Hyo Min,0,0 - 0,,"19,388 / 7"
79,80,NGR,Grace GABRIEL,0,0 - 0,,"19,339 / 16"
