,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,ESP,Carolina MARIN,0,208 - 64,"$224,481.00","86,662 / 16"
1,2,IND,Saina NEHWAL,0,309 - 133,"$570,610.00","81,782 / 15"
2,3,TPE,TAI Tzu Ying,1,188 - 109,"$226,905.00","74,360 / 16"
3,4,KOR,SUNG Ji Hyun,-1,221 - 112,"$298,365.00","73,078 / 17"
4,5,THA,Ratchanok INTANON,2,224 - 104,"$295,955.00","69,687 / 17"
5,6,CHN,WANG Shixian,0,252 - 76,"$658,775.00","68,960 / 15"
6,7,CHN,LI Xuerui,-2,249 - 56,"$626,110.00","68,567 / 12"
7,8,CHN,WANG Yihan,0,340 - 83,"$738,865.50","66,918 / 17"
8,9,JPN,Nozomi OKUHARA,0,139 - 45,"$67,355.50","63,804 / 20"
9,10,JPN,Akane YAMAGUCHI,0,107 - 35,"$69,527.50","62,795 / 17"
10,11,CHN,SUN Yu,0,87 - 33,"$77,655.00","60,000 / 16"
11,12,KOR,BAE Yeon Ju,0,204 - 125,"$188,907.50","51,576 / 17"
12,13,IND,PUSARLA V. Sindhu,0,159 - 70,"$84,253.00","50,370 / 13"
13,14,CAN,Michelle LI,0,203 - 81,"$46,309.50","48,397 / 17"
14,15,JPN,Sayaka TAKAHASHI,0,133 - 62,"$65,367.00","45,540 / 16"
15,16,JPN,Minatsu MITANI,0,117 - 77,"$83,742.50","43,520 / 18"
16,17,THA,Busanan ONGBUMRUNGPHAN,0,137 - 74,"$52,695.00","41,105 / 19"
17,18,JPN,Yui HASHIMOTO,0,85 - 45,"$61,264.00","40,890 / 17"
18,19,JPN,Sayaka SATO,0,149 - 100,"$63,325.00","40,170 / 14"
19,20,HKG,CHEUNG Ngan Yi,1,63 - 59,"$12,845.00","38,308 / 18"
20,21,INA,Lindaweni FANETRI,1,100 - 87,"$44,522.50","38,145 / 13"
21,22,SCO,Kirsty GILMOUR,2,136 - 64,"$26,264.00","37,630 / 17"
22,23,USA,Beiwen ZHANG,-3,149 - 77,"$52,001.12","37,550 / 13"
23,24,THA,Porntip BURANAPRASERTSUK,-1,172 - 146,"$110,945.00","37,060 / 19"
24,25,KOR,KIM Hyo Min,0,95 - 46,"$12,325.50","36,560 / 16"
25,26,ESP,Beatriz CORRALES,0,177 - 87,"$23,034.50","36,285 / 20"
26,27,INA,Maria Febe KUSUMASTUTI,6,136 - 103,"$39,289.00","35,540 / 17"
27,28,TPE,PAI Yu Po,0,82 - 66,"$18,612.50","34,710 / 20"
28,29,GER,Karin SCHNAASE,-2,186 - 154,"$17,793.80","34,184 / 23"
29,30,USA,Iris WANG,0,98 - 92,"$14,125.50","34,155 / 24"
30,31,HKG,YIP Pui Yin,-2,190 - 179,"$101,275.00","33,665 / 19"
